Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,64.0,1.0,64.0,64.0,0.1,27.309000000000037,0.0,0.0,0.015327215194702148,,,,,,,,,,,,,,,,,,,,,7.754762638068953,8.34779399650353,26.866401127016484,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,90.0,2.0,26.0,90.0,0.1,11.204999999999995,0.0,0.0,2.1901183128356934,,,,,,,,,,,,,,,,,,,,,3.3201539896066667,3.80945946798991,11.140946748821122,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,181.0,3.0,91.0,181.0,0.1,25.70800000000009,0.0,0.0,8.642752170562744,,,,,,,,,,,,,,,,,,,,,5.998134378983091,6.626186345264818,25.21256969833953,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,228.0,4.0,47.0,228.0,0.1,26.90700000000002,0.0,0.0,12.283556938171387,,,,,,,,,,,,,,,,,,,,,8.801470308261242,9.014528216995364,26.546397143401382,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,276.0,5.0,48.0,276.0,0.1,24.706000000000024,0.0,0.0,15.919914722442627,,,,,,,,,,,,,,,,,,,,,7.645668395262301,8.056578528516305,24.387759047363087,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,325.0,6.0,49.0,325.0,0.1,24.508000000000024,0.0,0.0,19.810344457626343,,,,,,,,,,,,,,,,,,,,,7.464629419956089,7.948821056157228,24.190590148128262,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,364.0,7.0,39.0,364.0,0.1,18.007000000000023,0.0,0.0,22.836110591888428,,,,,,,,,,,,,,,,,,,,,5.237805231037326,5.927612274032676,17.83838452665834,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,419.0,8.0,55.0,419.0,0.1,40.205,0.0,0.0,26.832759618759155,,,,,,,,,,,,,,,,,,,,,15.705965197587897,13.355239300101289,39.419972439038304,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,452.0,9.0,33.0,452.0,0.1,15.206999999999994,0.0,0.0,29.38115644454956,,,,,,,,,,,,,,,,,,,,,4.497560765371546,5.101690418063366,15.088742891783417,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,484.0,10.0,32.0,484.0,0.1,13.406999999999993,0.0,0.0,32.09017252922058,,,,,,,,,,,,,,,,,,,,,3.7019017149524798,4.466713185203813,13.31515614224988,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
